小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
新外大街28号院,2017.08.23 ,735万,131721,760,110,4,29,82,6211,2室1厅1厨1卫,中楼层,8,55.8,暂无数据,39.45,板塔结合,东北,1999,简装,混合结构,集中供暖,一梯三户,70年,有,101101551939,商品房,2017-05-06,普通住宅,满两年,非共有,735,131721,2017-08-23,365,65413,2015-03-19
西便门东里,2017.08.23 ,545万,96188,566,133,5,161,86,5098,2室1厅1厨1卫,高楼层,16,56.66,暂无数据,暂无数据,塔楼,南,1980,精装,钢混结构,集中供暖,两梯七户,70年,有,101101468784,央产房,2017-04-13,普通住宅,暂无数据,非共有,545,96188,2017-08-23
月坛西街东里22号院,2017.08.23 ,618万,98565,655,37,1,72,141,16950,3室1厅1厨1卫,顶层,6,62.7,暂无数据,44.17,板楼,东 南 西,1983,简装,混合结构,集中供暖,一梯三户,70年,无,101101827235,已购公房,2017-07-17,普通住宅,满五年,非共有,618,98565,2017-08-23
广外南街50号院,2017.08.23 ,510万,78462,510,5,1,1,1,19,1室1厅1厨1卫,低楼层,22,65,暂无数据,52.73,塔楼,西南,1999,简装,钢混结构,集中供暖,三梯六户,70年,有,101101967841,已购公房,2017-08-19,普通住宅,满两年,非共有,510,78462,2017-08-23
车公庄中里,2017.08.23 ,700万,95200,750,39,1,16,58,3881,2室1厅1厨1卫,高楼层,6,73.53,平层,57.94,板楼,东 西,2003,精装,钢混结构,暂无数据,一梯三户,未知,暂无数据,101101819106,央产房,2017-07-15,普通住宅,满五年,非共有,700,95200,2017-08-23
新风街,2017.08.23 ,639.6万,141819,650,12,0,46,23,1092,1室1厅1厨1卫,低楼层,16,45.1,暂无数据,暂无数据,塔楼,南,1991,毛坯,混合结构,集中供暖,两梯八户,70年,有,101101937349,已购公房,2017-08-12,普通住宅,满五年,非共有,639.6,141819,2017-08-23
小红庙,2017.08.23 ,629万,90426,690,7,0,14,31,1323,3室1厅1厨1卫,中楼层,6,69.56,暂无数据,暂无数据,板楼,南 北,1986,精装,混合结构,集中供暖,一梯两户,70年,无,101101956591,已购公房,2017-08-16,普通住宅,暂无数据,非共有,629,90426,2017-08-23
玉桃园三区,2017.08.23 ,620万,100487,620,4,0,15,0,暂无数据,2室1厅1厨1卫,底层,6,61.7,暂无数据,暂无数据,板楼,南 北,1997,简装,混合结构,集中供暖,一梯两户,70年,无,101101971989,央产房,2017-08-20,普通住宅,满五年,非共有,620,100487,2017-08-23
平原里小区,2017.08.23 ,638万,101190,660,71,1,16,9,199,2室1厅1厨1卫,中楼层,9,63.05,暂无数据,暂无数据,板楼,南 北,1999,其他,钢混结构,集中供暖,两梯两户,70年,有,101101695405,已购公房,2017-06-13,普通住宅,暂无数据,非共有,638,101190,2017-08-23
教场口9号院,2017.08.23 ,715万,96779,735,149,7,91,109,9117,2室1厅1厨1卫,高楼层,20,73.88,暂无数据,暂无数据,塔楼,西北,2003,简装,钢混结构,集中供暖,三梯十二户,70年,有,101101397269,二类经济适用房,2017-03-27,普通住宅,满五年,非共有,715,96779,2017-08-23
朗琴园,2017.08.23 ,470万,99010,490,77,4,15,60,6525,1室0厅1厨1卫,中楼层,29,47.47,暂无数据,39.07,塔楼,东南,2006,其他,钢混结构,自供暖,三梯九户,70年,有,101101672286,私产,2017-06-07,普通住宅,满五年,非共有,470,99010,2017-08-23
六铺炕二区,2017.08.23 ,735万,136364,765,95,5,84,34,2309,2室1厅1厨1卫,底层,6,53.9,暂无数据,暂无数据,板楼,南 北,1983,精装,混合结构,集中供暖,一梯两户,70年,无,101101602488,已购公房,2017-05-20,普通住宅,满五年,非共有,735,136364,2017-08-23
里仁街6号院,2017.08.22 ,607万,96965,640,26,1,33,95,4180,2室1厅1厨1卫,中楼层,6,62.6,暂无数据,1,板楼,南 北,1984,精装,混合结构,集中供暖,一梯三户,70年,无,101101873472,商品房,2017-07-28,普通住宅,满五年,非共有,607,96965,2017-08-22
裕中东里,2017.08.22 ,576万,133954,580,147,4,47,17,1284,1室1厅1厨1卫,低楼层,6,43,暂无数据,暂无数据,板楼,南,1985,简装,混合结构,集中供暖,一梯三户,70年,无,101101403201,已购公房,2017-03-29,普通住宅,满五年,非共有,576,133954,2017-08-22
朝阳庵,2017.08.22 ,620万,90910,660,26,0,8,47,1714,2室1厅1厨1卫,顶层,6,68.2,暂无数据,48.3,板楼,南 北,1991,精装,混合结构,集中供暖,一梯四户,70年,无,101101868161,已购公房,2017-07-27,普通住宅,满五年,非共有,620,90910,2017-08-22
教场口9号院,2017.08.22 ,725万,95824,740,148,3,17,39,2629,2室1厅1厨1卫,高楼层,19,75.66,平层,暂无数据,塔楼,西 北,2003,精装,钢混结构,集中供暖,三梯十二户,70年,有,101101398942,二类经济适用房,2017-03-28,普通住宅,满五年,非共有,725,95824,2017-08-22
马连道中里,2017.08.22 ,606万,78033,720,70,6,45,66,4089,2室1厅1厨1卫,高楼层,14,77.66,暂无数据,55,板楼,南 北,1998,简装,钢混结构,集中供暖,两梯两户,70年,有,101101696309,二类经济适用房,2017-06-13,普通住宅,满两年,非共有,606,78033,2017-08-22
三里河一区3号院,2017.08.22 ,875万,132176,900,36,1,9,99,4432,1室1厅1厨1卫,中楼层,18,66.2,平层,52.24,塔楼,南 北,1999,精装,钢混结构,集中供暖,两梯十二户,70年,有,101101826656,商品房,2017-07-17,普通住宅,暂无数据,非共有,875,132176,2017-08-22,590,89124,2015-12-23
广安门外南街,2017.08.22 ,568万,94889,600,8,0,2,14,297,2室1厅1厨1卫,高楼层,14,59.86,暂无数据,暂无数据,板塔结合,东南,1998,精装,钢混结构,集中供暖,两梯十一户,70年,有,101101949067,商品房,2017-08-14,普通住宅,满五年,非共有,568,94889,2017-08-22
格调,2017.08.21 ,880万,81444,950,89,3,97,65,4763,2室2厅1厨1卫,中楼层,23,108.05,暂无数据,85.25,板塔结合,西南,2007,精装,钢混结构,集中供暖,两梯六户,70年,有,101101619905,私产,2017-05-25,普通住宅,满五年,非共有,880,81444,2017-08-21
四平园,2017.08.21 ,495万,109952,525,43,3,35,66,3771,1室1厅1厨1卫,中楼层,6,45.02,暂无数据,31.23,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101798355,已购公房,2017-07-10,普通住宅,满五年,非共有,495,109952,2017-08-21
宣武门西大街,2017.08.21 ,700万,102460,750,151,5,105,121,6740,3室0厅1厨1卫,低楼层,12,68.32,暂无数据,暂无数据,板楼,南 北,1979,简装,钢混结构,集中供暖,一梯十二户,70年,有,101101377077,已购公房,2017-03-23,普通住宅,满五年,共有,700,102460,2017-08-21
恬心家园,2017.08.21 ,482万,83334,508,64,3,36,85,3478,1室1厅1厨1卫,中楼层,18,57.84,暂无数据,44.55,板塔结合,西,2004,精装,钢混结构,自供暖,三梯十八户,70年,有,101101713977,商品房,2017-06-18,普通住宅,满五年,非共有,482,83334,2017-08-21
月坛西街东里21号院,2017.08.21 ,538万,106115,538,6,0,51,39,2429,2室0厅1厨1卫,低楼层,6,50.7,暂无数据,41,板楼,东,1982,简装,混合结构,集中供暖,一梯三户,70年,无,101101951797,已购公房,2017-08-15,普通住宅,暂无数据,非共有,538,106115,2017-08-21
裕中西里,2017.08.21 ,781万,107873,860,39,0,9,73,3326,2室1厅1厨1卫,高楼层,20,72.4,暂无数据,暂无数据,塔楼,西北,1992,精装,钢混结构,集中供暖,两梯八户,70年,有,101101810661,已购公房,2017-07-13,普通住宅,满五年,非共有,781,107873,2017-08-21
