小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）,行政区
安德里北街25号院,2017.08.26 ,930万,84739,1080,146,2,15,92,5161,3室2厅1厨2卫,低楼层,17,109.75,暂无数据,暂无数据,塔楼,东北,1988,精装,钢混结构,集中供暖,两梯七户,70年,有,101101424881,已购公房,2017-04-02,普通住宅,满五年,非共有,930,84739,2017-08-26,,,,,,,,,,,,,,,,东城
和平里七区,2017.08.26 ,720万,105557,685,12,0,2,0,暂无数据,3室1厅1厨1卫,中楼层,5,68.21,平层,暂无数据,板楼,南 北,1990,其他,砖混结构,集中供暖,一梯三户,70年,无,101101949917,央产房,2017-08-15,普通住宅,暂无数据,共有,720,105557,2017-08-26,,,,,,,,,,,,,,,,东城
悠胜美苑,2017.08.25 ,880万,68885,1000,174,6,20,98,6479,3室2厅1厨2卫,中楼层,20,127.75,跃层,96.89,板塔结合,东南,2002,精装,钢混结构,自供暖,两梯十户,70年,有,101101281386,商品房,2017-03-05,普通住宅,满五年,共有,880,68885,2017-08-25,,,,,,,,,,,,,,,,东城
安德路55号院,2017.08.25 ,512万,88475,540,30,0,18,78,2520,2室1厅1厨1卫,低楼层,6,57.87,平层,48,板楼,东南 西,1986,其他,混合结构,暂无数据,一梯三户,未知,暂无数据,101101864004,已购公房,2017-07-26,普通住宅,暂无数据,非共有,512,88475,2017-08-25,,,,,,,,,,,,,,,,东城
安贞苑50号院,2017.08.25 ,620万,94197,645,90,4,132,138,9879,2室1厅1厨1卫,中楼层,6,65.82,暂无数据,50,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101629034,私产,2017-05-27,普通住宅,满五年,非共有,620,94197,2017-08-25,,,,,,,,,,,,,,,,东城
胡家园小区,2017.08.24 ,339万,88167,358,85,1,12,56,4892,1室1厅1厨1卫,中楼层,20,38.45,平层,暂无数据,塔楼,东南,1992,精装,钢混结构,集中供暖,两梯七户,70年,有,101101644921,私产,2017-06-01,普通住宅,满五年,非共有,339,88167,2017-08-24,,,,,,,,,,,,,,,,东城
安化北里,2017.08.23 ,475万,83101,570,139,3,74,142,12293,3室1厅1厨1卫,高楼层,6,57.16,暂无数据,暂无数据,板楼,南 北,1980,简装,混合结构,集中供暖,一梯三户,70年,无,101101443114,已购公房,2017-04-07,普通住宅,满五年,非共有,475,83101,2017-08-23,,,,,,,,,,,,,,,,东城
海运仓小区,2017.08.23 ,965万,116336,986,115,6,42,160,7766,3室1厅1厨1卫,底层,6,82.95,暂无数据,73,板楼,南 北,2002,简装,钢混结构,集中供暖,一梯三户,70年,无,101101531179,商品房,2017-04-30,普通住宅,满两年,非共有,965,116336,2017-08-23,,,,,,,,,,,,,,,,东城
民旺园,2017.08.23 ,606万,100916,640,17,0,5,0,暂无数据,2室1厅1厨1卫,低楼层,6,60.05,暂无数据,暂无数据,板楼,南 北,1986,其他,混合结构,集中供暖,一梯三户,70年,无,101101917753,已购公房,2017-08-07,普通住宅,暂无数据,暂无数据,606,100916,2017-08-23,,,,,,,,,,,,,,,,东城
华冠丽景,2017.08.23 ,1250万,105415,1300,66,1,17,0,1,2室2厅1厨2卫,中楼层,7,118.58,暂无数据,106.86,板楼,南 北,2003,其他,钢混结构,自供暖,一梯两户,70年,有,101101714966,商品房,2017-06-18,普通住宅,满五年,共有,1250,105415,2017-08-23,,,,,,,,,,,,,,,,东城
和平里一区,2017.08.22 ,520万,98785,519,4,0,9,0,暂无数据,2室1厅1厨1卫,中楼层,11,52.64,暂无数据,52,板塔结合,南,1990,其他,混合结构,集中供暖,一梯四户,70年,有,101101966093,已购公房,2017-08-18,普通住宅,满五年,非共有,520,98785,2017-08-22,,,,,,,,,,,,,,,,东城
革新里小区,2017.08.21 ,288万,70641,310,13,0,17,90,2479,1室1厅1厨1卫,底层,6,40.77,暂无数据,暂无数据,板楼,南,1993,简装,砖混结构,集中供暖,一梯三户,70年,无,101101925476,已购公房,2017-08-09,普通住宅,满五年,非共有,288,70641,2017-08-21,,,,,,,,,,,,,,,,东城
和平新城一期,2017.08.21 ,950万,86854,980,72,2,82,131,9520,2室1厅1厨2卫,中楼层,19,109.38,暂无数据,87.76,板塔结合,东南,2003,精装,钢混结构,自供暖,三梯八户,70年,有,101101685868,商品房,2017-06-10,普通住宅,暂无数据,非共有,950,86854,2017-08-21,暂无价格,其他公司成交,2015-06,,,,,,,,,,,,,东城
中景濠庭,2017.08.20 ,1375万,85103,1580,136,0,94,134,14883,3室1厅1厨2卫,中楼层,22,161.57,平层,96.3,塔楼,南 北,2002,精装,钢混结构,集中供暖,两梯五户,70年,有,101101442256,已购公房,2017-04-07,普通住宅,满两年,非共有,1375,85103,2017-08-20,,,,,,,,,,,,,,,,东城
天天家园,2017.08.20 ,718万,70351,730,26,0,28,154,6088,2室1厅1厨1卫,中楼层,11,102.06,暂无数据,79.13,板塔结合,东南,2002,精装,钢混结构,自供暖,两梯十六户,70年,有,101101862414,私产,2017-07-26,普通住宅,满五年,非共有,718,70351,2017-08-20,,,,,,,,,,,,,,,,东城
白桥大街,2017.08.20 ,455万,82818,490,29,0,21,38,3056,2室1厅1厨1卫,中楼层,6,54.94,暂无数据,40,板楼,东 北,1980,其他,混合结构,集中供暖,一梯五户,70年,无,101101852127,已购公房,2017-07-23,普通住宅,暂无数据,非共有,455,82818,2017-08-20,,,,,,,,,,,,,,,,东城
东环居苑,2017.08.20 ,510万,78366,580,34,2,34,31,2543,1室1厅1厨1卫,低楼层,22,65.08,暂无数据,52.2,塔楼,西南,2004,精装,钢混结构,集中供暖,三梯十一户,70年,有,101101828134,商品房,2017-07-17,普通住宅,满五年,非共有,510,78366,2017-08-20,,,,,,,,,,,,,,,,东城
景泰东里,2017.08.20 ,478万,70721,500,24,1,35,93,4182,2室1厅1厨1卫,中楼层,6,67.59,暂无数据,暂无数据,板楼,南,1994,简装,混合结构,集中供暖,一梯三户,70年,无,101101867176,私产,2017-07-27,普通住宅,满五年,非共有,478,70721,2017-08-20,,,,,,,,,,,,,,,,东城
安德路47号院,2017.08.20 ,337万,91826,370,33,0,56,184,7260,1室1厅1厨1卫,中楼层,6,36.7,暂无数据,36.7,板楼,东 西,1990,简装,混合结构,集中供暖,一梯四户,70年,无,101101830767,已购公房,2017-07-18,普通住宅,满五年,非共有,337,91826,2017-08-20,,,,,,,,,,,,,,,,东城
东直门内大街,2017.08.19 ,680万,105150,710,39,1,11,90,2756,2室1厅1厨1卫,中楼层,12,64.67,暂无数据,55.73,板楼,南 北,2002,其他,钢混结构,集中供暖,两梯两户,70年,有,101101803898,商品房,2017-07-11,普通住宅,满两年,共有,680,105150,2017-08-19,257,39741,2012-06-23,,,,,,,,,,,,,东城
炮局头条,2017.08.19 ,645万,110389,654,12,1,2,30,765,2室1厅1厨1卫,中楼层,6,58.43,暂无数据,53.91,板楼,南 北,1991,精装,混合结构,集中供暖,一梯两户,70年,无,101101917782,已购公房,2017-08-07,普通住宅,满五年,非共有,645,110389,2017-08-19,,,,,,,,,,,,,,,,东城
青年湖北街,2017.08.18 ,815万,111278,850,105,1,48,31,3885,2室2厅1厨1卫,中楼层,18,73.24,暂无数据,62.5,塔楼,东南,1997,简装,钢混结构,集中供暖,两梯八户,70年,有,101101554113,商品房,2017-05-06,普通住宅,满两年,非共有,815,111278,2017-08-18,,,,,,,,,,,,,,,,东城
龙潭北里二条,2017.08.18 ,460万,77887,510,24,3,1,38,2589,3室1厅1厨1卫,中楼层,5,59.06,暂无数据,42.1,板楼,南 北,1960,简装,混合结构,集中供暖,一梯三户,70年,无,101101859376,私产,2017-07-25,普通住宅,满五年,非共有,460,77887,2017-08-18,,,,,,,,,,,,,,,,东城
竹杆胡同,2017.08.17 ,760万,105968,770,167,7,29,43,2150,2室1厅1厨1卫,中楼层,9,71.72,暂无数据,暂无数据,板楼,东 西,2003,简装,钢混结构,集中供暖,一梯四户,70年,有,101101275069,二类经济适用房,2017-03-04,普通住宅,满五年,非共有,760,105968,2017-08-17,,,,,,,,,,,,,,,,东城
兴隆都市馨园,2017.08.17 ,790万,100804,815,25,0,12,74,4806,2室1厅1厨1卫,中楼层,6,78.37,暂无数据,70.35,板塔结合,东南,2003,精装,钢混结构,自供暖,一梯四户,70年,无,101101855388,一类经济适用房,2017-07-24,普通住宅,满五年,非共有,790,100804,2017-08-17,,,,,,,,,,,,,,,,东城
和平里五区,2017.08.17 ,308万,82134,350,49,0,27,74,9231,1室1厅1厨1卫,地下室,6,37.5,暂无数据,30,板楼,东南,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101755817,央产房,2017-06-30,普通住宅,暂无数据,非共有,308,82134,2017-08-17,,,,,,,,,,,,,,,,东城
新中西街,2017.08.16 ,310万,76809,330,11,0,4,78,1342,1室1厅1厨1卫,底层,7,40.36,暂无数据,40,板楼,南,1990,毛坯,混合结构,集中供暖,一梯三户,70年,无,101101914787,已购公房,2017-08-06,普通住宅,满两年,非共有,310,76809,2017-08-16,,,,,,,,,,,,,,,,东城
富贵园二区,2017.08.16 ,675万,87811,720,118,2,11,37,5810,2室1厅1厨1卫,高楼层,18,76.87,暂无数据,61.07,板塔结合,西,2003,精装,钢混结构,集中供暖,三梯十七户,70年,有,101101495369,一类经济适用房,2017-04-20,普通住宅,满五年,非共有,675,87811,2017-08-16,,,,,,,,,,,,,,,,东城
朝阳门南小街,2017.08.16 ,795万,112020,820,2,0,0,0,暂无数据,2室2厅1厨1卫,中楼层,8,70.97,暂无数据,暂无数据,板塔结合,南 北,2004,其他,钢混结构,集中供暖,一梯四户,70年,有,101101950865,二类经济适用房,2017-08-15,普通住宅,暂无数据,暂无数据,795,112020,2017-08-16,,,,,,,,,,,,,,,,东城
龙潭北里二条,2017.08.16 ,502万,81165,516,27,2,17,80,5973,3室1厅1厨1卫,中楼层,5,61.85,暂无数据,46.4,板楼,南,1960,简装,混合结构,集中供暖,一梯三户,70年,无,101101838409,已购公房,2017-07-20,普通住宅,满五年,非共有,502,81165,2017-08-16,,,,,,,,,,,,,,,,东城
南岗子,2017.08.16 ,480万,82945,520,92,3,16,91,5097,2室1厅1厨1卫,中楼层,6,57.87,暂无数据,39.9,板楼,南 北,1988,精装,混合结构,集中供暖,一梯三户,70年,无,101101588727,已购公房,2017-05-16,普通住宅,满五年,非共有,480,82945,2017-08-16,,,,,,,,,,,,,,,,东城
和平里五区,2017.08.16 ,600万,108854,610,10,0,11,20,411,2室1厅1厨1卫,中楼层,6,55.12,平层,暂无数据,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101915405,央产房,2017-08-06,普通住宅,满五年,非共有,600,108854,2017-08-16,,,,,,,,,,,,,,,,东城
万国城MOMA,2017.08.15 ,23万,5813,20,3,0,0,0,暂无数据,车位,地下室,1,39.57,暂无数据,暂无数据,暂无数据,东南,2002,其他,钢混结构,集中供暖,暂无数据,70年,有,101101942742,商品房,2017-08-13,车库,暂无数据,暂无数据,23,5813,2017-08-15,,,,,,,,,,,,,,,,东城
万国城MOMA,2017.08.15 ,2336万,102695,2600,191,1,46,132,15442,3室2厅1厨3卫,中楼层,31,227.47,平层,186.95,塔楼,东南,2006,精装,钢混结构,集中供暖,四梯六户,70年,有,101101120348,商品房,2017-02-06,普通住宅,满五年,非共有,2336,102695,2017-08-15,,,,,,,,,,,,,,,,东城
桃杨路教师楼,2017.08.15 ,567.5万,79560,610,28,1,7,0,暂无数据,2室1厅1厨1卫,低楼层,6,71.33,暂无数据,48.88,暂无数据,南 北,1999,简装,钢混结构,集中供暖,一梯两户,70年,暂无数据,101101832788,已购公房,2017-07-19,普通住宅,满五年,非共有,567.5,79560,2017-08-15,,,,,,,,,,,,,,,,东城
景泰西里西区,2017.08.14 ,416万,68989,445,18,1,20,121,3385,1室1厅1厨1卫,底层,10,60.3,暂无数据,51.2,板塔结合,南,2005,简装,混合结构,自供暖,一梯四户,70年,有,101101871078,商品房,2017-07-28,普通住宅,满五年,非共有,416,68989,2017-08-14,,,,,,,,,,,,,,,,东城
东中街,2017.08.14 ,703万,90337,720,130,4,111,202,9150,3室1厅1厨1卫,中楼层,14,77.82,暂无数据,77.82,板楼,南 北,1988,简装,钢混结构,集中供暖,一梯七户,70年,有,101101441036,私产,2017-04-06,普通住宅,满五年,非共有,703,90337,2017-08-14,,,,,,,,,,,,,,,,东城
北官厅胡同,2017.08.14 ,490万,126812,520,123,2,41,81,4998,1室1厅1厨1卫,低楼层,6,38.64,平层,暂无数据,板楼,南,1999,毛坯,砖混结构,集中供暖,一梯五户,70年,无,101101468929,私产,2017-04-13,普通住宅,满五年,非共有,490,126812,2017-08-14,,,,,,,,,,,,,,,,东城
金世纪嘉园,2017.08.14 ,870万,74429,1010,152,5,147,87,27726,2室1厅1厨2卫,中楼层,21,116.89,暂无数据,暂无数据,塔楼,西南,2003,精装,钢混结构,集中供暖,三梯十户,70年,有,101101339152,商品房,2017-03-16,普通住宅,满五年,非共有,870,74429,2017-08-14,,,,,,,,,,,,,,,,东城
北新桥三条,2017.08.13 ,500万,102860,520,21,1,13,63,3410,2室1厅1厨1卫,高楼层,6,48.61,暂无数据,暂无数据,板楼,南,1985,简装,砖混结构,集中供暖,一梯三户,70年,暂无数据,101101856002,已购公房,2017-07-24,普通住宅,满五年,非共有,500,102860,2017-08-13,,,,,,,,,,,,,,,,东城
豆瓣胡同,2017.08.12 ,860万,121418,940,53,3,15,103,4954,2室1厅1厨1卫,中楼层,10,70.83,暂无数据,62.05,板楼,南 北,2003,精装,钢混结构,集中供暖,一梯四户,70年,有,101101723180,二类经济适用房,2017-06-21,普通住宅,满五年,非共有,860,121418,2017-08-12,,,,,,,,,,,,,,,,东城
天坛东里中区,2017.08.12 ,406万,83540,413,44,3,10,65,2692,2室1厅1厨1卫,中楼层,5,48.6,暂无数据,暂无数据,板楼,南 北,1993,简装,混合结构,集中供暖,一梯三户,70年,无,101101755333,已购公房,2017-06-29,普通住宅,满五年,非共有,406,83540,2017-08-12,,,,,,,,,,,,,,,,东城
华龙美晟,2017.08.12 ,618万,68273,650,47,4,17,57,3398,2室1厅1厨1卫,高楼层,12,90.52,暂无数据,74.17,板塔结合,西,2009,精装,钢混结构,自供暖,一梯六户,70年,有,101101744392,商品房,2017-06-26,普通住宅,满五年,非共有,618,68273,2017-08-12,,,,,,,,,,,,,,,,东城
青年湖西里,2017.08.12 ,630万,118155,750,146,4,132,136,8995,2室1厅1厨1卫,底层,5,53.32,平层,暂无数据,板楼,南 北,1993,简装,砖混结构,集中供暖,一梯两户,70年,暂无数据,101101360118,商品房,2017-03-19,普通住宅,满五年,非共有,630,118155,2017-08-12,,,,,,,,,,,,,,,,东城
民旺园,2017.08.12 ,601万,94393,636.7,48,0,21,118,6885,2室1厅1厨1卫,低楼层,16,63.67,暂无数据,50,塔楼,南,1993,简装,钢混结构,集中供暖,两梯七户,70年,有,101101740973,已购公房,2017-06-25,普通住宅,满五年,非共有,601,94393,2017-08-12,,,,,,,,,,,,,,,,东城
幸福北里,2017.08.12 ,656万,88998,700,6,0,5,0,8,3室1厅1厨1卫,底层,6,73.71,暂无数据,55.3,板楼,南 北,1985,简装,混合结构,集中供暖,一梯两户,70年,无,101101912419,已购公房,2017-08-06,普通住宅,满五年,非共有,656,88998,2017-08-12,,,,,,,,,,,,,,,,东城
北官厅胡同甲二号院,2017.08.11 ,638万,111695,713,65,1,25,72,4884,2室1厅1厨1卫,中楼层,6,57.12,暂无数据,暂无数据,板楼,南 北,1993,简装,砖混结构,集中供暖,一梯三户,70年,无,101101676027,私产,2017-06-08,普通住宅,满五年,非共有,638,111695,2017-08-11,,,,,,,,,,,,,,,,东城
北官厅胡同2号院,2017.08.10 ,520万,121496,520,22,0,4,28,1328,1室1厅1厨1卫,底层,6,42.8,暂无数据,38,板楼,南,1985,简装,砖混结构,集中供暖,一梯三户,70年,暂无数据,101101836854,商品房,2017-07-20,普通住宅,满两年,非共有,520,121496,2017-08-10,272,63552,2015-06-06,,,,,,,,,,,,,东城
北京上舍,2017.08.10 ,460万,93534,480,21,1,0,33,1517,1室0厅1厨1卫,高楼层,15,49.18,平层,37.88,塔楼,北,2008,简装,钢混结构,集中供暖,两梯十户,70年,有,101101839403,商品房,2017-07-20,普通住宅,满五年,非共有,460,93534,2017-08-10,,,,,,,,,,,,,,,,东城
六铺炕,2017.08.10 ,578万,106290,650,51,2,27,14,1608,2室1厅1厨1卫,中楼层,6,54.38,暂无数据,45,板楼,东 西,1980,简装,砖混结构,集中供暖,一梯三户,70年,无,101101721440,已购公房,2017-06-20,普通住宅,满五年,非共有,578,106290,2017-08-10,,,,,,,,,,,,,,,,东城
小黄庄一区,2017.08.09 ,426万,96293,480,12,0,5,0,暂无数据,1室1厅1厨1卫,中楼层,6,44.24,暂无数据,44.24,板楼,南 北,1994,精装,混合结构,集中供暖,一梯两户,70年,无,101101877348,已购公房,2017-07-29,普通住宅,满五年,非共有,426,96293,2017-08-09,,,,,,,,,,,,,,,,东城
安贞苑50号院,2017.08.09 ,595万,90633,628,38,1,43,113,6434,2室1厅1厨1卫,高楼层,6,65.65,暂无数据,暂无数据,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101771133,私产,2017-07-03,普通住宅,满五年,非共有,595,90633,2017-08-09,,,,,,,,,,,,,,,,东城
安外东河沿,2017.08.09 ,600万,92822,646,8,1,13,36,1943,2室1厅1厨1卫,低楼层,16,64.64,暂无数据,48,塔楼,南,1988,简装,钢混结构,集中供暖,两梯七户,70年,有,101101896058,央产房,2017-08-02,普通住宅,暂无数据,非共有,600,92822,2017-08-09,,,,,,,,,,,,,,,,东城
和平里六区,2017.08.08 ,787.5万,93851,856,18,0,21,64,2126,2室1厅1厨1卫,低楼层,16,83.91,平层,63,塔楼,南,2000,简装,钢混结构,集中供暖,两梯八户,70年,有,101101847260,央产房,2017-07-22,普通住宅,暂无数据,共有,787.5,93851,2017-08-08,,,,,,,,,,,,,,,,东城
青年沟,2017.08.08 ,431万,95906,449,19,0,24,60,2429,1室1厅1厨1卫,低楼层,6,44.94,暂无数据,暂无数据,板楼,南,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101840387,已购公房,2017-07-21,普通住宅,暂无数据,非共有,431,95906,2017-08-08,,,,,,,,,,,,,,,,东城
国祥胡同4号院,2017.08.08 ,488万,111748,530,66,1,47,157,5686,2室1厅1厨1卫,中楼层,5,43.67,暂无数据,暂无数据,板楼,南,1988,精装,混合结构,集中供暖,一梯三户,70年,无,101101660038,已购公房,2017-06-04,普通住宅,暂无数据,非共有,488,111748,2017-08-08,,,,,,,,,,,,,,,,东城
鸿安国际大厦,2017.08.08 ,1375万,61674,1420,4,0,2,0,暂无数据,3室2厅1厨2卫,高楼层,12,222.95,暂无数据,173.42,板塔结合,东 西,2004,精装,混合结构,自供暖,一梯两户,70年,有,101101906816,商品房,2017-08-04,普通住宅,暂无数据,非共有,1375,61674,2017-08-08,,,,,,,,,,,,,,,,东城
青年湖南街,2017.08.08 ,920万,95466,1010,62,1,49,145,8458,3室1厅1厨1卫,顶层,6,96.37,暂无数据,暂无数据,板楼,南 北,1992,精装,混合结构,集中供暖,一梯两户,70年,无,101101672744,已购公房,2017-06-07,普通住宅,满五年,非共有,920,95466,2017-08-08,,,,,,,,,,,,,,,,东城
和平里七区,2017.08.08 ,690万,87932,700,118,3,78,126,10263,3室1厅1厨1卫,底层,4,78.47,暂无数据,78,板楼,东 西,1979,简装,混合结构,集中供暖,一梯两户,70年,无,101101463562,央产房,2017-04-12,普通住宅,满五年,非共有,690,87932,2017-08-08,,,,,,,,,,,,,,,,东城
富莱茵花园,2017.08.07 ,356万,73752,390,4,0,9,0,暂无数据,2室1厅1厨1卫,低楼层,21,48.27,暂无数据,30.9,塔楼,东南,1995,简装,钢混结构,集中供暖,两梯十户,70年,有,101101900947,商品房,2017-08-03,普通住宅,满五年,非共有,356,73752,2017-08-07,,,,,,,,,,,,,,,,东城
李村南里,2017.08.06 ,588万,76453,599,76,2,105,225,9756,3室1厅1厨1卫,低楼层,6,76.91,暂无数据,54.19,板楼,南 北,1990,简装,混合结构,集中供暖,一梯三户,70年,无,101101612193,已购公房,2017-05-23,普通住宅,暂无数据,非共有,588,76453,2017-08-06,,,,,,,,,,,,,,,,东城
左安漪园,2017.08.06 ,1065万,88492,1150,43,1,5,38,3666,3室1厅1厨2卫,中楼层,15,120.35,暂无数据,98.81,板楼,东 西南,2004,简装,钢混结构,集中供暖,一梯两户,70年,有,101101735540,私产,2017-06-24,普通住宅,满五年,非共有,1065,88492,2017-08-06,,,,,,,,,,,,,,,,东城
建予园,2017.08.06 ,605万,67644,630,34,2,13,42,3234,2室1厅1厨1卫,低楼层,16,89.44,平层,暂无数据,塔楼,西南,1999,其他,混合结构,集中供暖,两梯十户,70年,有,101101774008,已购公房,2017-07-04,普通住宅,满五年,非共有,605,67644,2017-08-06,,,,,,,,,,,,,,,,东城
安外西河沿,2017.08.06 ,485万,88006,510,134,3,5,128,5916,2室1厅1厨1卫,低楼层,12,55.11,暂无数据,暂无数据,板楼,南 北,1983,简装,钢混结构,集中供暖,一梯五户,70年,有,101101390583,商品房,2017-03-26,普通住宅,满五年,非共有,485,88006,2017-08-06,,,,,,,,,,,,,,,,东城
青龙胡同,2017.08.06 ,485万,117748,500,29,1,9,0,暂无数据,1室1厅1厨1卫,中楼层,6,41.19,暂无数据,30.3,板楼,南,1988,精装,混合结构,集中供暖,一梯三户,70年,无,101101793163,已购公房,2017-07-09,普通住宅,满五年,非共有,485,117748,2017-08-06,,,,,,,,,,,,,,,,东城
绿景苑,2017.08.05 ,377万,127279,380,55,1,5,81,5361,1室0厅1厨1卫,低楼层,12,29.62,暂无数据,23.52,板塔结合,北,2002,精装,钢混结构,暂无数据,一梯九户,70年,有,101101690584,商品房,2017-06-11,普通住宅,满五年,非共有,377,127279,2017-08-05,,,,,,,,,,,,,,,,东城
冠城名敦道,2017.08.05 ,486万,64974,486,58,2,13,57,3669,1室0厅1厨1卫,顶层,23,74.8,暂无数据,56.24,塔楼,西,2009,精装,钢混结构,集中供暖,四梯十二户,70年,有,101101677142,商品房,2017-06-08,普通住宅,满五年,非共有,486,64974,2017-08-05,,,,,,,,,,,,,,,,东城
天天家园,2017.08.05 ,760万,67394,800,38,0,15,68,4751,2室2厅1厨1卫,高楼层,11,112.77,暂无数据,87.43,板塔结合,西 北,2002,简装,钢混结构,自供暖,两梯十六户,70年,有,101101751274,私产,2017-06-28,普通住宅,满五年,非共有,760,67394,2017-08-05,,,,,,,,,,,,,,,,东城
龙潭北里三条,2017.08.05 ,500万,84446,515,19,2,27,28,2967,3室1厅1厨1卫,中楼层,5,59.21,暂无数据,42.1,板楼,南 北,1965,简装,混合结构,集中供暖,一梯三户,70年,无,101101829379,已购公房,2017-07-18,普通住宅,满五年,非共有,500,84446,2017-08-05,,,,,,,,,,,,,,,,东城
恒基中心,2017.08.05 ,1150万,71625,1150,103,2,14,32,4346,3室1厅1厨2卫,高楼层,23,160.56,暂无数据,暂无数据,塔楼,东 北,1997,精装,钢混结构,暂无数据,一梯二十四户,70年,暂无数据,101101511305,商品房,2017-04-24,公寓,满五年,非共有,1150,71625,2017-08-05,,,,,,,,,,,,,,,,东城
沙子口路65号,2017.08.05 ,403.6万,69743,430,44,1,5,87,2303,2室1厅1厨1卫,低楼层,6,57.87,暂无数据,45,板楼,西南,1985,简装,砖混结构,集中供暖,一梯三户,70年,暂无数据,101101727777,商品房,2017-06-22,普通住宅,暂无数据,共有,403.6,69743,2017-08-05,暂无价格,其他公司成交,2015-07,,,,,,,,,,,,,东城
本家润园三期,2017.08.04 ,474.5万,99144,475,3,0,0,0,暂无数据,1室1厅1厨1卫,低楼层,18,47.86,暂无数据,暂无数据,塔楼,北,2005,简装,钢混结构,集中供暖,三梯十八户,70年,有,101101893750,二类经济适用房,2017-08-02,普通住宅,暂无数据,非共有,474.5,99144,2017-08-04,,,,,,,,,,,,,,,,东城
和平里一区,2017.08.04 ,508万,86117,560,14,0,56,80,5334,2室1厅1厨1卫,中楼层,5,58.99,暂无数据,暂无数据,板楼,东 西 北,1990,简装,混合结构,集中供暖,一梯三户,70年,无,101101841297,已购公房,2017-07-21,普通住宅,满五年,非共有,508,86117,2017-08-04,,,,,,,,,,,,,,,,东城
华冠丽景,2017.08.03 ,1290万,108788,1450,61,1,61,68,5573,2室2厅1厨2卫,中楼层,7,118.58,暂无数据,106.86,板楼,南 北,2003,其他,钢混结构,自供暖,一梯两户,70年,有,101101660094,商品房,2017-06-04,普通住宅,满两年,非共有,1290,108788,2017-08-03,,,,,,,,,,,,,,,,东城
法华南里,2017.08.03 ,925万,81758,970,14,0,27,51,3832,3室1厅1厨2卫,中楼层,6,113.14,暂无数据,79,板楼,南 北,1996,精装,混合结构,集中供暖,一梯两户,70年,无,101101840982,已购公房,2017-07-21,普通住宅,满五年,非共有,925,81758,2017-08-03,,,,,,,,,,,,,,,,东城
东营房八条,2017.08.03 ,450万,96858,470,31,1,28,11,414,2室1厅1厨1卫,底层,6,46.46,暂无数据,暂无数据,板楼,南,1980,简装,混合结构,集中供暖,一梯五户,70年,无,101101772513,已购公房,2017-07-03,普通住宅,满两年,非共有,450,96858,2017-08-03,,,,,,,,,,,,,,,,东城
兴化西里,2017.08.01 ,781万,101495,820,14,0,7,20,786,2室1厅1厨1卫,中楼层,6,76.95,暂无数据,67.72,板楼,东 西,2005,精装,钢混结构,集中供暖,一梯两户,70年,无,101101832239,商品房,2017-07-19,普通住宅,满五年,非共有,781,101495,2017-08-01,,,,,,,,,,,,,,,,东城
景泰西里西区,2017.07.31 ,419万,68667,465,15,0,16,96,3535,2室1厅1厨1卫,中楼层,9,61.02,平层,51.2,板塔结合,南,2005,其他,钢混结构,自供暖,一梯四户,70年,有,101101827259,一类经济适用房,2017-07-17,普通住宅,满五年,非共有,419,68667,2017-07-31,,,,,,,,,,,,,,,,东城
工体北里,2017.07.31 ,553万,93777,577,33,2,17,25,1317,2室1厅1厨1卫,中楼层,6,58.97,暂无数据,暂无数据,板楼,南,1983,简装,砖混结构,集中供暖,一梯三户,70年,无,101101752281,已购公房,2017-06-29,普通住宅,满五年,非共有,553,93777,2017-07-31,,,,,,,,,,,,,,,,东城
金鱼池中区,2017.07.31 ,850万,61922,935,75,2,37,287,14303,5室2厅1厨2卫,顶层,6,137.27,暂无数据,121.39,板楼,东 西,2002,精装,钢混结构,暂无数据,一梯两户,70年,无,101101595507,商品房,2017-05-18,普通住宅,满五年,非共有,850,61922,2017-07-31,,,,,,,,,,,,,,,,东城
和平里七区,2017.07.31 ,475万,103644,505,6,0,1,0,暂无数据,1室1厅1厨1卫,中楼层,6,45.83,暂无数据,34,板楼,南,1995,其他,混合结构,集中供暖,一梯三户,70年,无,101101861103,商品房,2017-07-26,普通住宅,满两年,非共有,475,103644,2017-07-31,暂无价格,其他公司成交,2014-09,,,,,,,,,,,,,东城
