小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
安德里北街25号院,2017.08.26 ,930万,84739,1080,146,2,15,92,5161,3室2厅1厨2卫,低楼层,17,109.75,暂无数据,暂无数据,塔楼,东北,1988,精装,钢混结构,集中供暖,两梯七户,70年,有,101101424881,已购公房,2017-04-02,普通住宅,满五年,非共有,930,84739,2017-08-26
和平里七区,2017.08.26 ,720万,105557,685,12,0,2,0,暂无数据,3室1厅1厨1卫,中楼层,5,68.21,平层,暂无数据,板楼,南 北,1990,其他,砖混结构,集中供暖,一梯三户,70年,无,101101949917,央产房,2017-08-15,普通住宅,暂无数据,共有,720,105557,2017-08-26
悠胜美苑,2017.08.25 ,880万,68885,1000,174,6,20,98,6479,3室2厅1厨2卫,中楼层,20,127.75,跃层,96.89,板塔结合,东南,2002,精装,钢混结构,自供暖,两梯十户,70年,有,101101281386,商品房,2017-03-05,普通住宅,满五年,共有,880,68885,2017-08-25
安德路55号院,2017.08.25 ,512万,88475,540,30,0,18,78,2520,2室1厅1厨1卫,低楼层,6,57.87,平层,48,板楼,东南 西,1986,其他,混合结构,暂无数据,一梯三户,未知,暂无数据,101101864004,已购公房,2017-07-26,普通住宅,暂无数据,非共有,512,88475,2017-08-25
安贞苑50号院,2017.08.25 ,620万,94197,645,90,4,132,138,9879,2室1厅1厨1卫,中楼层,6,65.82,暂无数据,50,板楼,南 北,1996,简装,混合结构,集中供暖,一梯两户,70年,无,101101629034,私产,2017-05-27,普通住宅,满五年,非共有,620,94197,2017-08-25
胡家园小区,2017.08.24 ,339万,88167,358,85,1,12,56,4892,1室1厅1厨1卫,中楼层,20,38.45,平层,暂无数据,塔楼,东南,1992,精装,钢混结构,集中供暖,两梯七户,70年,有,101101644921,私产,2017-06-01,普通住宅,满五年,非共有,339,88167,2017-08-24
安化北里,2017.08.23 ,475万,83101,570,139,3,74,142,12293,3室1厅1厨1卫,高楼层,6,57.16,暂无数据,暂无数据,板楼,南 北,1980,简装,混合结构,集中供暖,一梯三户,70年,无,101101443114,已购公房,2017-04-07,普通住宅,满五年,非共有,475,83101,2017-08-23
海运仓小区,2017.08.23 ,965万,116336,986,115,6,42,160,7766,3室1厅1厨1卫,底层,6,82.95,暂无数据,73,板楼,南 北,2002,简装,钢混结构,集中供暖,一梯三户,70年,无,101101531179,商品房,2017-04-30,普通住宅,满两年,非共有,965,116336,2017-08-23
民旺园,2017.08.23 ,606万,100916,640,17,0,5,0,暂无数据,2室1厅1厨1卫,低楼层,6,60.05,暂无数据,暂无数据,板楼,南 北,1986,其他,混合结构,集中供暖,一梯三户,70年,无,101101917753,已购公房,2017-08-07,普通住宅,暂无数据,暂无数据,606,100916,2017-08-23
华冠丽景,2017.08.23 ,1250万,105415,1300,66,1,17,0,1,2室2厅1厨2卫,中楼层,7,118.58,暂无数据,106.86,板楼,南 北,2003,其他,钢混结构,自供暖,一梯两户,70年,有,101101714966,商品房,2017-06-18,普通住宅,满五年,共有,1250,105415,2017-08-23
和平里一区,2017.08.22 ,520万,98785,519,4,0,9,0,暂无数据,2室1厅1厨1卫,中楼层,11,52.64,暂无数据,52,板塔结合,南,1990,其他,混合结构,集中供暖,一梯四户,70年,有,101101966093,已购公房,2017-08-18,普通住宅,满五年,非共有,520,98785,2017-08-22
革新里小区,2017.08.21 ,288万,70641,310,13,0,17,90,2479,1室1厅1厨1卫,底层,6,40.77,暂无数据,暂无数据,板楼,南,1993,简装,砖混结构,集中供暖,一梯三户,70年,无,101101925476,已购公房,2017-08-09,普通住宅,满五年,非共有,288,70641,2017-08-21
