小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
远洋山水,2017.08.22 ,720万,70776,760,54,2,42,70,3895,2室1厅1厨1卫,中楼层,26,101.73,平层,79.9,板塔结合,南,2006,精装,钢混结构,集中供暖,两梯四户,70年,有,101101754099,私产,2017-06-29,普通住宅,满五年,非共有,720,70776,2017-08-22
杨庄小区,2017.08.22 ,311万,44917,325,52,2,39,33,2986,1室1厅1厨1卫,低楼层,16,69.24,平层,暂无数据,塔楼,南,1997,简装,钢混结构,集中供暖,两梯七户,70年,有,101101763051,已购公房,2017-07-01,普通住宅,满五年,非共有,311,44917,2017-08-22
融景城,2017.08.22 ,556万,62854,570,24,1,25,17,1599,2室2厅1厨1卫,低楼层,24,88.46,暂无数据,70.84,板塔结合,南,2012,精装,钢混结构,集中供暖,两梯四户,70年,有,101101881208,商品房,2017-07-29,普通住宅,满两年,非共有,556,62854,2017-08-22
远洋沁山水,2017.08.22 ,1110万,76552,1160,5,0,2,0,暂无数据,3室2厅1厨2卫,低楼层,23,145,平层,暂无数据,板楼,东 西,2011,精装,钢混结构,集中供暖,两梯两户,70年,有,101101959597,商品房,2017-08-17,普通住宅,暂无数据,非共有,1110,76552,2017-08-22
杨庄小区,2017.08.22 ,440万,51998,465,57,2,48,14,799,3室1厅1厨1卫,中楼层,14,84.62,暂无数据,64.37,板塔结合,南 北,1991,精装,钢混结构,集中供暖,两梯两户,70年,有,101101742279,已购公房,2017-06-26,普通住宅,满五年,非共有,440,51998,2017-08-22
苹果园小区三区,2017.08.22 ,350万,46823,366,45,2,42,89,3772,2室1厅1厨1卫,底层,16,74.75,暂无数据,50.96,塔楼,西南,1995,其他,钢混结构,集中供暖,两梯七户,70年,有,101101793021,商品房,2017-07-09,普通住宅,暂无数据,非共有,350,46823,2017-08-22,251,33579,2016-03-26,180,24081,2016-01-02
杨庄北区,2017.08.22 ,510万,40599,550,9,1,5,13,630,3室1厅1厨1卫,高楼层,20,125.62,暂无数据,103.27,塔楼,南 西 北,2001,精装,钢混结构,集中供暖,两梯七户,70年,有,101101946148,商品房,2017-08-13,普通住宅,满五年,非共有,510,40599,2017-08-22
远洋沁山水,2017.08.22 ,46万,15334,47,13,0,1,0,323,车位,地下室,0,30,暂无数据,12.72,板楼,南,2009,毛坯,钢混结构,集中供暖,暂无数据,50年,有,101101925715,商品房,2017-08-09,车库,满两年,非共有,46,15334,2017-08-22,38.2,13451,2014-02-11
模式口东里,2017.08.22 ,266万,44564,280,65,2,77,192,7189,2室1厅1厨1卫,中楼层,6,59.69,平层,1,板楼,南 北,1990,精装,混合结构,集中供暖,一梯三户,70年,无,101101711661,商品房,2017-06-18,普通住宅,满两年,共有,266,44564,2017-08-22,163,27308,2014-01-22
五芳园,2017.08.22 ,255万,52319,275,80,0,19,1,55,1室1厅1厨1卫,高楼层,6,48.74,平层,33.41,板楼,南,1994,简装,混合结构,集中供暖,一梯三户,70年,无,101101658410,已购公房,2017-06-04,普通住宅,暂无数据,共有,255,52319,2017-08-22
远洋山水,2017.08.21 ,780万,69618,795,93,2,12,60,4590,3室1厅1厨1卫,高楼层,26,112.04,暂无数据,86.09,板塔结合,东 北,2007,精装,钢混结构,集中供暖,两梯四户,70年,有,101101605034,商品房,2017-05-21,普通住宅,满五年,共有,780,69618,2017-08-21
模式口西里,2017.08.21 ,265万,42936,275,15,0,8,85,2266,2室1厅1厨1卫,高楼层,6,61.72,平层,43.14,板楼,南 北,1990,精装,钢混结构,集中供暖,一梯三户,70年,无,101101917070,商品房,2017-08-06,普通住宅,满两年,非共有,265,42936,2017-08-21,139,22522,2014-09-18
八角中里,2017.08.21 ,310万,52632,330,143,7,14,16,1261,2室1厅1厨1卫,低楼层,6,58.9,暂无数据,暂无数据,板楼,南 北,1986,简装,混合结构,集中供暖,一梯三户,70年,无,101101414943,已购公房,2017-03-31,普通住宅,满五年,非共有,310,52632,2017-08-21
古城路小区,2017.08.20 ,212万,55180,225,12,0,49,63,2822,1室1厅1厨1卫,低楼层,6,38.42,暂无数据,28.8,板楼,西,1986,简装,砖混结构,集中供暖,一梯四户,70年,无,101101925864,已购公房,2017-08-09,普通住宅,暂无数据,共有,212,55180,2017-08-20
地铁古城家园,2017.08.20 ,428万,49338,450,64,3,31,72,3207,2室1厅1厨1卫,高楼层,25,86.75,暂无数据,69.31,塔楼,西南,2005,精装,钢混结构,集中供暖,两梯八户,70年,有,101101712836,商品房,2017-06-18,普通住宅,满五年,非共有,428,49338,2017-08-20
玉泉路11号院,2017.08.20 ,252.5万,55851,265,5,0,6,38,1256,1室1厅1厨1卫,高楼层,7,45.21,暂无数据,30.69,板楼,东南,1990,简装,混合结构,集中供暖,一梯四户,70年,无,101101953368,已购公房,2017-08-15,普通住宅,满五年,非共有,252.5,55851,2017-08-20
