小区名,成交时间,成交价格,成交单价,挂牌价格（万）,成交周期（天）,调价（次）,带看（次）,关注（人）,浏览（次）,房屋户型,所在楼层,总共层数,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号,交易权属,挂牌时间,房屋用途,房屋年限,房权所属,成交价格（历史1）,成交单价（历史1）,成交时间（历史1）,成交价格（历史2）,成交单价（历史2）,成交时间（历史2）,成交价格（历史3）,成交单价（历史3）,成交时间（历史3）,成交价格（历史4）,成交单价（历史4）,成交时间（历史4）,成交价格（历史5）,成交单价（历史5）,成交时间（历史5）,成交价格（历史6）,成交单价（历史6）,成交时间（历史6）
惠民家园,2017.04.12 ,300万,39772,300,25,5,47,55,2884,2室1厅1厨1卫,中楼层,11,75.43,暂无数据,63.71,板楼,南,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101101357152,商品房,2017-03-19,普通住宅,满五年,非共有,300,39772,2017-04-12
惠民家园,2017.04.09 ,244万,47444,245,2,0,2,0,5,1室1厅1厨1卫,中楼层,11,51.43,平层,43.46,板楼,西北,2010,其他,钢混结构,集中供暖,一梯六户,70年,有,101101444902,商品房,2017-04-07,普通住宅,暂无数据,共有,244,47444,2017-04-09,95,18472,2015-03-14
惠民家园,2017.04.06 ,290万,42479,290,5,2,9,20,886,2室1厅1厨1卫,低楼层,6,68.27,暂无数据,57.36,板楼,东 西,2010,精装,钢混结构,暂无数据,一梯三户,70年,无,101101422447,商品房,2017-04-02,普通住宅,满五年,非共有,290,42479,2017-04-06
惠民家园,2017.04.06 ,280万,43757,280,2,1,2,5,255,2室1厅1厨1卫,顶层,20,63.99,暂无数据,48.53,板楼,东南,2012,精装,钢混结构,集中供暖,两梯五户,70年,有,101101433100,商品房,2017-04-05,普通住宅,满两年,非共有,280,43757,2017-04-06
惠民家园,2017.03.25 ,285万,45433,285,7,2,34,26,1836,2室1厅1厨1卫,高楼层,21,62.73,暂无数据,48.4,板楼,南,2012,简装,钢混结构,集中供暖,两梯六户,70年,有,101101350593,商品房,2017-03-18,普通住宅,满两年,非共有,285,45433,2017-03-25
惠民家园,2017.03.17 ,279万,45995,279,5,1,0,11,243,2室1厅1厨1卫,中楼层,21,60.66,平层,暂无数据,板楼,南,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101101324137,商品房,2017-03-13,普通住宅,暂无数据,非共有,279,45995,2017-03-17
惠民家园,2017.03.15 ,285万,42684,300,9,0,30,7,650,2室1厅1厨1卫,高楼层,6,66.77,暂无数据,56.67,板楼,南 北,2009,简装,混合结构,集中供暖,一梯三户,70年,无,101101290875,商品房,2017-03-06,普通住宅,满五年,非共有,285,42684,2017-03-15
惠民家园,2017.03.14 ,240万,45147,242,11,2,13,31,1820,1室0厅1厨1卫,低楼层,15,53.16,暂无数据,42.54,板塔结合,南,2010,简装,钢混结构,集中供暖,两梯六户,70年,有,101101271560,商品房,2017-03-03,普通住宅,满两年,非共有,240,45147,2017-03-14
惠民家园,2017.03.13 ,350万,46692,350,10,0,38,12,1134,2室1厅1厨1卫,中楼层,11,74.96,平层,63.31,板楼,南 北,2010,其他,钢混结构,集中供暖,一梯四户,70年,有,101101274033,商品房,2017-03-04,普通住宅,满两年,共有,350,46692,2017-03-13
惠民家园,2017.03.10 ,245万,44668,245,15,0,13,98,5104,1室1厅1厨1卫,高楼层,9,54.85,平层,45.52,板楼,南,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101101225216,商品房,2017-02-23,普通住宅,满五年,非共有,245,44668,2017-03-10
惠民家园,2017.03.06 ,265万,41491,265,24,0,40,60,4778,2室1厅1厨1卫,低楼层,21,63.87,平层,49.28,板楼,南 北,2012,精装,钢混结构,集中供暖,两梯六户,70年,有,101101153664,商品房,2017-02-11,普通住宅,满两年,非共有,265,41491,2017-03-06
惠民家园,2017.03.04 ,264万,41503,264,6,2,2,1,76,2室1厅1厨1卫,高楼层,19,63.61,暂无数据,48.52,板楼,西南,2012,其他,钢混结构,集中供暖,两梯五户,70年,有,101101244910,商品房,2017-02-27,普通住宅,暂无数据,非共有,264,41503,2017-03-04,120,18865,2014-10-15,76.8,12074,2012-12-24
惠民家园,2017.03 , , , , , , , , ,2室1厅1厨1卫,中楼层,19,63.69,暂无数据,48.58,板楼,南,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101101288261,二类经济适用房,2017-03-06,普通住宅,满两年,非共有,暂无价格,其他公司成交,2017-03
惠民家园,2017.02.27 ,240万,38407,240,128,4,60,51,5255,2室1厅1厨1卫,中楼层,20,62.49,平层,47.39,板楼,南,2012,简装,钢混结构,集中供暖,两梯五户,70年,有,101100762179,商品房,2016-10-23,普通住宅,满两年,非共有,240,38407,2017-02-27
惠民家园,2017.02.25 ,259万,40343,259,12,3,39,24,1914,2室1厅1厨1卫,中楼层,19,64.2,平层,48.97,板楼,南 北,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101101162577,商品房,2017-02-13,普通住宅,满两年,非共有,259,40343,2017-02-25
惠民家园,2017.02.19 ,225万,40229,225,114,8,39,135,12600,1室1厅1厨1卫,顶层,6,55.93,跃层,47.7,板楼,南 北,2009,简装,混合结构,集中供暖,一梯三户,70年,无,101100778630,商品房,2016-10-29,普通住宅,满五年,非共有,225,40229,2017-02-19
惠民家园,2017.02.17 ,258万,40395,260,11,1,11,23,1139,2室1厅1厨1卫,高楼层,21,63.87,平层,49.28,板楼,南 北,2012,简装,钢混结构,集中供暖,两梯六户,70年,有,101101125388,商品房,2017-02-07,普通住宅,满两年,非共有,258,40395,2017-02-17
惠民家园,2017.02.17 ,282万,42676,290,7,0,3,1,10,2室1厅1厨1卫,高楼层,6,66.08,平层,55.91,板楼,南 北,2010,精装,混合结构,集中供暖,一梯两户,70年,无,101101144924,商品房,2017-02-10,普通住宅,满五年,非共有,282,42676,2017-02-17
惠民家园,2017.02.16 ,220万,45568,220,8,1,8,10,357,1室0厅1厨1卫,高楼层,6,48.28,平层,41.61,板楼,南,2009,精装,混合结构,集中供暖,一梯四户,70年,无,101101138724,商品房,2017-02-09,普通住宅,满五年,非共有,220,45568,2017-02-16,48,9943,2010-06-10
惠民家园,2017.02.14 ,210万,39216,210,48,3,20,32,2596,1室1厅1厨1卫,低楼层,9,53.55,平层,42.76,板楼,东,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101101013114,商品房,2016-12-28,普通住宅,满两年,共有,210,39216,2017-02-14,65,12148,2012-02-18,54,9942,2010-07-08
惠民家园,2017.02.13 ,338万,44810,340,40,2,67,46,3564,2室1厅1厨1卫,高楼层,11,75.43,跃层,63.71,板楼,东 南,2010,精装,钢混结构,集中供暖,一梯四户,70年,有,101101038533,商品房,2017-01-05,普通住宅,满五年,非共有,338,44810,2017-02-13
惠民家园,2017.02.13 ,209万,39316,210,8,1,14,25,1430,1室0厅1厨1卫,高楼层,15,53.16,平层,42.54,板塔结合,南,2010,其他,钢混结构,集中供暖,两梯六户,70年,有,101101111237,商品房,2017-02-05,普通住宅,满两年,非共有,209,39316,2017-02-13,101,19000,2013-06-26
惠民家园,2017.02.13 ,239.8万,38368,240,64,2,98,83,6450,2室1厅1厨1卫,高楼层,20,62.5,平层,47.39,板楼,南,2012,其他,钢混结构,集中供暖,两梯五户,70年,有,101100952285,商品房,2016-12-11,普通住宅,暂无数据,非共有,239.8,38368,2017-02-13
惠民家园,2017.02.12 ,222万,46318,222,9,0,7,10,378,1室0厅1厨1卫,底层,6,47.93,平层,41.61,板楼,南,2009,精装,混合结构,集中供暖,一梯四户,70年,无,101101101919,二类经济适用房,2017-02-04,普通住宅,满两年,非共有,222,46318,2017-02-12
惠民家园,2017.02.06 ,202万,37807,205,117,2,15,31,3741,1室0厅1厨1卫,高楼层,9,53.43,平层,暂无数据,板塔结合,东,2010,精装,钢混结构,集中供暖,一梯四户,70年,有,101100716568,商品房,2016-10-13,普通住宅,暂无数据,共有,202,37807,2017-02-06,93.5,17500,2015-04-14
惠民家园,2017.01.21 ,215万,38781,215,18,2,8,11,740,1室1厅1厨1卫,中楼层,9,55.44,平层,暂无数据,板楼,东南,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101101035277,商品房,2017-01-04,普通住宅,暂无数据,共有,215,38781,2017-01-21
惠民家园,2017.01.16 ,213.6万,40371,216,32,2,34,35,2625,1室1厅1厨1卫,低楼层,11,52.91,平层,暂无数据,板楼,南,2010,精装,钢混结构,集中供暖,一梯六户,70年,有,101100966774,二类经济适用房,2016-12-16,普通住宅,满五年,非共有,213.6,40371,2017-01-16
惠民家园,2017.01.09 ,231万,36168,231,6,2,6,15,990,2室1厅1厨1卫,中楼层,21,63.87,平层,暂无数据,板楼,南 北,2012,简装,钢混结构,集中供暖,两梯六户,70年,有,101101034665,商品房,2017-01-04,普通住宅,满两年,非共有,231,36168,2017-01-09
惠民家园,2017.01.05 ,229万,36298,229,8,1,33,21,1263,2室1厅1厨1卫,中楼层,19,63.09,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯五户,70年,有,101101012154,商品房,2016-12-28,普通住宅,满两年,暂无数据,229,36298,2017-01-05
惠民家园,2017.01.02 ,323万,38888,323,99,2,46,30,3071,2室1厅1厨1卫,中楼层,6,83.06,暂无数据,暂无数据,板楼,南 北,2009,精装,混合结构,集中供暖,一梯四户,70年,无,101100633862,商品房,2016-09-25,普通住宅,满五年,非共有,323,38888,2017-01-02
惠民家园,2017.01.01 ,320万,42396,320,36,5,9,19,1674,2室1厅1厨1卫,高楼层,11,75.48,跃层,暂无数据,板楼,南,2010,精装,钢混结构,集中供暖,一梯四户,70年,有,101100883613,二类经济适用房,2016-11-26,普通住宅,满五年,非共有,320,42396,2017-01-01
惠民家园,2017.01.01 ,240万,37366,240,1,1,1,1,3,2室1厅1厨1卫,低楼层,19,64.23,暂无数据,暂无数据,板楼,南 北,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101101024508,商品房,2016-12-31,普通住宅,暂无数据,暂无数据,240,37366,2017-01-01
惠民家园,2017.01 , , , , , , , , ,2室1厅1厨1卫,低楼层,21,60.66,平层,暂无数据,板楼,南,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101100890748,商品房,2016-11-27,普通住宅,暂无数据,暂无数据,暂无价格,其他公司成交,2017-01
惠民家园,2017.01 , , , , , , , , ,1室0厅1厨1卫,高楼层,15,53.2,平层,暂无数据,板塔结合,南,2010,其他,钢混结构,集中供暖,两梯六户,70年,有,101100852505,商品房,2016-11-16,普通住宅,暂无数据,暂无数据,暂无价格,其他公司成交,2017-01
惠民家园,2016.12.28 ,208万,37077,210,5,1,3,3,238,1室1厅1厨1卫,低楼层,6,56.1,暂无数据,47.14,板楼,东 西,2010,简装,钢混结构,集中供暖,一梯三户,70年,无,101100995690,商品房,2016-12-23,普通住宅,满五年,非共有,208,37077,2016-12-28,68,12122,2010-08-28
惠民家园,2016.12.23 ,207万,40226,207,5,1,5,3,342,1室1厅1厨1卫,低楼层,11,51.46,平层,43.46,板楼,西北,2010,简装,钢混结构,集中供暖,一梯六户,70年,有,101100978492,二类经济适用房,2016-12-18,普通住宅,满五年,非共有,207,40226,2016-12-23
惠民家园,2016.12.22 ,218万,34229,225,92,5,14,64,3344,2室1厅1厨1卫,中楼层,19,63.69,平层,暂无数据,板楼,南,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101100613055,商品房,2016-09-21,普通住宅,暂无数据,暂无数据,218,34229,2016-12-22,110,17272,2016-02-25
惠民家园,2016.12.21 ,213.5万,33428,219,32,1,88,35,3201,2室1厅1厨1卫,中楼层,21,63.87,平层,暂无数据,板楼,南 北,2012,简装,钢混结构,集中供暖,两梯六户,70年,有,101100863807,二类经济适用房,2016-11-20,普通住宅,暂无数据,非共有,213.5,33428,2016-12-21
惠民家园,2016.12.15 ,296万,39263,300,8,1,23,27,2720,2室1厅1厨1卫,低楼层,11,75.39,跃层,63.71,板楼,南,2010,精装,钢混结构,集中供暖,一梯四户,70年,有,101100932931,二类经济适用房,2016-12-07,普通住宅,满五年,非共有,296,39263,2016-12-15
惠民家园,2016.12.12 ,280万,35806,285,73,4,229,66,4967,2室1厅1厨1卫,低楼层,9,78.2,平层,暂无数据,板楼,南 北,2010,其他,钢混结构,集中供暖,一梯四户,70年,有,101100656579,商品房,2016-09-30,普通住宅,暂无数据,暂无数据,280,35806,2016-12-12,暂无价格,其他公司成交,2016-08
惠民家园,2016.12.11 ,190万,37498,195,16,0,34,60,6915,1室0厅1厨1卫,低楼层,11,50.67,暂无数据,暂无数据,板楼,南,2010,精装,钢混结构,集中供暖,一梯六户,70年,有,101100883244,二类经济适用房,2016-11-26,普通住宅,满五年,非共有,190,37498,2016-12-11
惠民家园,2016.12.11 ,303万,31164,308,78,3,64,48,2806,3室1厅1厨2卫,顶层,11,97.23,暂无数据,暂无数据,板楼,东南,2010,简装,钢混结构,集中供暖,一梯六户,70年,有,101100631247,二类经济适用房,2016-09-25,普通住宅,满五年,非共有,303,31164,2016-12-11
惠民家园,2016.12.07 ,179万,36017,179,4,1,2,1,15,1室0厅1厨1卫,底层,6,49.7,暂无数据,暂无数据,板楼,南,2009,简装,混合结构,集中供暖,一梯四户,70年,无,101100920583,商品房,2016-12-04,普通住宅,暂无数据,非共有,179,36017,2016-12-07,66.5,13381,2012-06-03
惠民家园,2016.12 , , , , , , , , ,- -室- -厅,中楼层,11,45.62,暂无数据,暂无数据,板楼,暂无数据,2010,其他,钢混结构,集中供暖,一梯六户,70年,有,BJ0002357320,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无价格,其他公司成交,2016-12,50,10946,2010-06-20
惠民家园,2016.12 , , , , , , , , ,2室1厅1厨1卫,低楼层,19,63.51,平层,暂无数据,板楼,南 北,2012,其他,钢混结构,集中供暖,两梯五户,70年,有,BJ0002357316,二类经济适用房,暂无数据,普通住宅,暂无数据,暂无数据,暂无价格,其他公司成交,2016-12
惠民家园,2016.12 , , , , , , , , ,3室0厅0厨0卫,高楼层,9,92.21,暂无数据,暂无数据,板楼,暂无数据,2010,其他,钢混结构,集中供暖,一梯四户,70年,有,BJ0002357582,二类经济适用房,暂无数据,普通住宅,暂无数据,暂无数据,暂无价格,其他公司成交,2016-12
惠民家园,2016.11.20 ,307万,32835,320,57,2,42,47,1089,3室1厅1厨1卫,低楼层,11,93.5,暂无数据,暂无数据,板楼,南 北,2010,其他,钢混结构,集中供暖,一梯四户,70年,有,101100626526,二类经济适用房,2016-09-24,普通住宅,满两年,暂无数据,307,32835,2016-11-20
惠民家园,2016.11.17 ,183万,33364,183,35,3,7,60,637,1室1厅1厨1卫,低楼层,9,54.85,平层,暂无数据,板楼,南,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101100720428,商品房,2016-10-13,普通住宅,暂无数据,非共有,183,33364,2016-11-17,142,28400,2016-08-05
惠民家园,2016.11.16 ,180万,32468,190,71,1,33,70,1709,1室1厅1厨1卫,高楼层,9,55.44,平层,暂无数据,板楼,南,2010,简装,钢混结构,集中供暖,一梯四户,70年,有,101100547243,商品房,2016-09-07,普通住宅,满两年,非共有,180,32468,2016-11-16,68.5,12356,2010-09-02
惠民家园,2016.10.28 ,200万,32595,200,42,0,33,44,872,2室1厅1厨1卫,高楼层,20,61.36,平层,暂无数据,板楼,南,2012,精装,钢混结构,集中供暖,两梯六户,70年,有,101100589463,商品房,2016-09-16,普通住宅,暂无数据,非共有,200,32595,2016-10-28,112,18253,2014-11-26
惠民家园,2016.10.24 ,190万,29481,190,12,2,3,3,1,2室1厅1厨1卫,底层,21,64.45,平层,暂无数据,板楼,南 北,2012,其他,钢混结构,集中供暖,两梯六户,70年,有,101100719716,商品房,2016-10-13,普通住宅,暂无数据,暂无数据,190,29481,2016-10-24
